id,product_name,product_category,price,product_url,image_url,description,color
51,RASTPLATS,handmade-carpets,12990,https://www.ikea.com/in/en/p/rastplats-rug-flatwoven-handmade-beige-black-20560316/,https://www.ikea.com/in/en/images/products/rastplats-rug-flatwoven-handmade-beige-black__1185068_pe898249_s5.jpg?f=xxs,"Rug, flatwoven, 170x240 cm (5 ' 7 "x7 ' 10 ")",Beige
52,VESTERVIG,handmade-carpets,13990,https://www.ikea.com/in/en/p/vestervig-rug-flatwoven-handmade-multicolour-diamond-pattern-20521259/,https://www.ikea.com/in/en/images/products/vestervig-rug-flatwoven-handmade-multicolour-diamond-pattern__1014315_pe829609_s5.jpg?f=xxs,"Rug, flatwoven, 160x230 cm (5 ' 3 "x7 ' 7 ")",Gray
53,VAMDRUP,handmade-carpets,6990,https://www.ikea.com/in/en/p/vamdrup-rug-flatwoven-handmade-multicolour-80507873/,https://www.ikea.com/in/en/images/products/vamdrup-rug-flatwoven-handmade-multicolour__0989495_pe818503_s5.jpg?f=xxs,"Rug, flatwoven, 80x200 cm (2 ' 7 "x6 ' 7 ")",Peach
54,"STOCKHOLM 2017",handmade-carpets,9990,https://www.ikea.com/in/en/p/stockholm-2017-rug-flatwoven-handmade-net-pattern-grey-40345241/,https://www.ikea.com/in/en/images/products/stockholm-2017-rug-flatwoven-handmade-net-pattern-grey__0448989_pe598560_s5.jpg?f=xxs,"Rug, flatwoven, 170x240 cm (5 ' 7 "x7 ' 10 ")",Gray
55,"STOCKHOLM 2017",handmade-carpets,14990,https://www.ikea.com/in/en/p/stockholm-2017-rug-flatwoven-handmade-striped-grey-00345342/,https://www.ikea.com/in/en/images/products/stockholm-2017-rug-flatwoven-handmade-striped-grey__0448991_pe598562_s5.jpg?f=xxs,"Rug, flatwoven, 250x350 cm (8 ' 2 "x11 ' 6 ")",Peach
56,STOCKHOLM,handmade-carpets,14990,https://www.ikea.com/in/en/p/stockholm-rug-flatwoven-handmade-chequered-brown-80229032/,https://www.ikea.com/in/en/images/products/stockholm-rug-flatwoven-handmade-chequered-brown__0167739_pe321664_s5.jpg?f=xxs,"Rug, flatwoven, 250x350 cm (8 ' 2 "x11 ' 6 ")",Gray
57,BUDDINGE,handmade-carpets,14990,https://www.ikea.com/in/en/p/buddinge-rug-flatwoven-handmade-multicolour-stripe-pattern-90514175/,https://www.ikea.com/in/en/images/products/buddinge-rug-flatwoven-handmade-multicolour-stripe-pattern__1014735_pe829724_s5.jpg?f=xxs,"Rug, flatwoven, 170x240 cm (5 ' 7 "x7 ' 10 ")",Gray
58,AVSKILDRA,handmade-carpets,19990,https://www.ikea.com/in/en/p/avskildra-rug-flatwoven-handmade-dark-green-50512574/,https://www.ikea.com/in/en/images/products/avskildra-rug-flatwoven-handmade-dark-green__0989199_pe818407_s5.jpg?f=xxs,"Rug, flatwoven, 170x240 cm (67x94 ")",Gray
59,VÄGNÄT,handmade-carpets,14990,https://www.ikea.com/in/en/p/vaegnaet-rug-flatwoven-off-white-grey-handmade-60541482/,https://www.ikea.com/in/en/images/products/vaegnaet-rug-flatwoven-off-white-grey-handmade__1133076_pe878396_s5.jpg?f=xxs,"Rug, flatwoven, 170x240 cm (5 ' 7 "x7 ' 10 ")",Peach
60,BRÖNDEN,handmade-carpets,12990,https://www.ikea.com/in/en/p/broenden-rug-low-pile-handmade-multicolour-red-70532929/,https://www.ikea.com/in/en/images/products/broenden-rug-low-pile-handmade-multicolour-red__1084642_pe859748_s5.jpg?f=xxs,"Rug, low pile, 133x195 cm (4 ' 4 "x6 ' 5 ")",Terracotta
